rank,score,camera,captured_at,path,confidence,area_fraction,clipped,sharpness,visit_frames,visit_start,visit_end
138,0.120,wildlifecam4,2026-09-07T10:59:00.494329,wildlifecam4/2026-09-07/105900.jpg,0.830,0.0028,0,379.6,5,2026-09-07T10:59:00.494329,2026-09-07T10:59:09.071777
139,0.115,wildlifecam10,2026-09-04T12:07:39.159816,wildlifecam10/2026-09-04/120739.jpg,0.901,0.0020,0,405.0,1,2026-09-04T12:07:39.159816,2026-09-04T12:07:39.159816
140,0.109,wildlifecam10,2026-09-07T08:02:41.744568,wildlifecam10/2026-09-07/080241.jpg,0.905,0.0034,0,288.0,2,2026-09-07T08:02:41.744568,2026-09-07T08:02:43.756556
141,0.105,wildlifecam4,2026-09-07T15:51:20.323347,wildlifecam4/2026-09-07/155120.jpg,0.945,0.0068,0,62.0,2,2026-09-07T15:51:18.178368,2026-09-07T15:51:20.323347
142,0.099,wildlifecam4,2026-08-25T10:08:05.434008,wildlifecam4/2026-08-25/100805.jpg,0.867,0.0028,1,506.6,1,2026-08-25T10:08:05.434008,2026-08-25T10:08:05.434008
143,0.096,wildlifecam10,2026-09-02T11:02:00.225718,wildlifecam10/2026-09-02/110200.jpg,0.834,0.0011,0,487.3,1,2026-09-02T11:02:00.225718,2026-09-02T11:02:00.225718
144,0.083,wildlifecam10,2026-09-06T08:17:21.003706,wildlifecam10/2026-09-06/081721.jpg,0.927,0.0030,0,230.1,1,2026-09-06T08:17:21.003706,2026-09-06T08:17:21.003706
145,0.079,wildlifecam4,2026-09-06T11:31:11.126089,wildlifecam4/2026-09-06/113111.jpg,0.844,0.0025,0,264.0,1,2026-09-06T11:31:11.126089,2026-09-06T11:31:11.126089
146,0.079,wildlifecam4,2026-09-05T10:45:58.906339,wildlifecam4/2026-09-05/104558.jpg,0.902,0.0042,0,177.4,2,2026-09-05T10:45:56.745414,2026-09-05T10:45:58.906339
147,0.078,wildlifecam4,2026-09-05T11:09:01.226955,wildlifecam4/2026-09-05/110901.jpg,0.801,0.0023,0,286.4,1,2026-09-05T11:09:01.226955,2026-09-05T11:09:01.226955
148,0.072,wildlifecam4,2026-09-09T06:46:10.801953,wildlifecam4/2026-09-09/064610.jpg,0.908,0.0035,0,152.2,2,2026-09-09T06:46:07.866209,2026-09-09T06:46:10.801953
149,0.065,wildlifecam4,2026-09-05T10:30:12.833000,wildlifecam4/2026-09-05/training/train_103012_833.jpg,0.826,0.0011,1,564.9,1,2026-09-05T10:30:12.833000,2026-09-05T10:30:12.833000
150,0.058,wildlifecam10,2026-09-10T15:54:49.485125,wildlifecam10/2026-09-10/155449.jpg,0.951,0.0057,1,103.4,2,2026-09-10T15:54:46.751686,2026-09-10T15:54:49.485125
